               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.022609,            0.013831,          6.6728e-05,             0.74284,             0.62074,             0.64665,             0.30859,            0.047367,            0.020889,          0.00029483,           0.0027639,           0.0027639,           0.0027639
                  98,            0.021865,            0.013443,          6.6344e-05,              0.7346,             0.63753,             0.64847,             0.30504,            0.047376,            0.020507,          0.00027068,           0.0027035,           0.0027035,           0.0027035
                  99,            0.021873,            0.013498,          6.4357e-05,             0.77855,             0.62217,             0.65802,             0.30086,            0.047642,            0.021334,          0.00031267,           0.0026453,           0.0026453,           0.0026453
                 100,            0.021344,            0.012931,          6.4489e-05,             0.74563,             0.61343,             0.64238,             0.30334,            0.047702,            0.020462,          0.00025534,           0.0025894,           0.0025894,           0.0025894
                 101,            0.021289,            0.013357,          6.3088e-05,               0.759,             0.61938,             0.63743,             0.30085,            0.048133,            0.020497,          0.00024276,           0.0025359,           0.0025359,           0.0025359
                 102,            0.021194,            0.012856,          6.1008e-05,             0.71015,             0.65726,             0.65641,             0.30662,            0.047675,            0.020655,          0.00026193,           0.0024847,           0.0024847,           0.0024847
                 103,            0.021588,            0.013323,          6.1267e-05,             0.77291,             0.62621,             0.65729,              0.3116,            0.047285,             0.02108,          0.00027489,            0.002436,            0.002436,            0.002436
                 104,            0.021232,            0.013051,          6.1548e-05,             0.77824,             0.60674,             0.63644,             0.30689,            0.047764,            0.020743,           0.0002742,           0.0023897,           0.0023897,           0.0023897
                 105,            0.021212,            0.013028,          5.9477e-05,             0.74569,             0.60955,             0.63182,             0.30236,             0.04905,            0.020778,          0.00027812,           0.0023458,           0.0023458,           0.0023458
                 106,            0.020964,            0.013099,          5.8194e-05,             0.77633,             0.61912,             0.65126,             0.31085,            0.047847,            0.020553,          0.00026143,           0.0023045,           0.0023045,           0.0023045
                 107,            0.020628,             0.01302,          5.8357e-05,             0.74954,             0.60945,             0.63348,              0.2988,            0.048038,            0.021178,          0.00029484,           0.0022657,           0.0022657,           0.0022657
                 108,             0.02071,            0.012531,          5.5124e-05,             0.73523,             0.62079,             0.64026,             0.30795,            0.048078,            0.021646,          0.00036301,           0.0022294,           0.0022294,           0.0022294
                 109,            0.020565,            0.012859,          5.4936e-05,             0.76612,             0.60815,              0.6428,             0.30544,            0.047512,            0.021181,          0.00030243,           0.0021958,           0.0021958,           0.0021958
                 110,            0.020615,            0.013169,          5.6458e-05,             0.73275,             0.64326,             0.65002,              0.3043,            0.047908,            0.020813,          0.00028683,           0.0021647,           0.0021647,           0.0021647
                 111,            0.020241,            0.012753,          5.5114e-05,             0.76935,              0.6236,             0.65295,             0.30542,            0.047407,            0.020758,          0.00025703,           0.0021363,           0.0021363,           0.0021363
                 112,            0.020543,            0.012637,           5.378e-05,             0.79511,             0.59409,             0.63898,             0.30055,            0.047852,            0.020528,          0.00025106,           0.0021105,           0.0021105,           0.0021105
                 113,            0.020451,            0.013019,          5.2376e-05,             0.74358,             0.64466,              0.6519,             0.30653,            0.047559,            0.021111,          0.00026234,           0.0020874,           0.0020874,           0.0020874
                 114,            0.019993,            0.012702,          5.1815e-05,             0.79958,             0.59955,             0.65613,             0.30922,            0.047315,             0.02111,          0.00025769,            0.002067,            0.002067,            0.002067
                 115,            0.020044,            0.012531,          5.1075e-05,             0.75853,             0.61938,             0.64978,             0.30831,            0.047615,            0.020978,          0.00025981,           0.0020492,           0.0020492,           0.0020492
                 116,             0.02017,            0.012768,          5.2476e-05,             0.76428,             0.63754,              0.6606,             0.30921,            0.047653,            0.021236,          0.00027576,           0.0020342,           0.0020342,           0.0020342
                 117,            0.019982,            0.012524,          5.1199e-05,             0.79031,             0.61933,             0.65275,              0.3121,            0.047701,            0.021155,           0.0002997,           0.0020219,           0.0020219,           0.0020219
                 118,            0.020392,             0.01278,          5.1523e-05,             0.73375,             0.66292,             0.65482,             0.30622,            0.048296,            0.021191,          0.00026538,           0.0020123,           0.0020123,           0.0020123
                 119,            0.019879,            0.012692,          4.9868e-05,              0.7948,             0.61236,             0.65838,             0.30496,            0.048184,            0.021452,          0.00030401,           0.0020055,           0.0020055,           0.0020055
