               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.010593,           0.0038619,                   0,             0.99999,             0.82993,             0.87228,             0.53211,            0.025813,           0.0018698,                   0,           0.0033235,           0.0033235,           0.0033235
                  90,            0.011046,           0.0038772,                   0,             0.99999,             0.83673,              0.8756,             0.51384,            0.026994,           0.0018647,                   0,           0.0032466,           0.0032466,           0.0032466
                  91,            0.011446,           0.0040801,                   0,             0.99191,             0.83673,             0.85461,             0.56234,            0.025434,           0.0019906,                   0,           0.0031716,           0.0031716,           0.0031716
                  92,            0.010929,           0.0039567,                   0,             0.99999,             0.82993,             0.85044,             0.48467,            0.027137,            0.002032,                   0,           0.0030985,           0.0030985,           0.0030985
                  93,            0.010723,            0.004034,                   0,             0.99999,             0.82993,             0.84586,             0.55546,            0.026346,           0.0018714,                   0,           0.0030274,           0.0030274,           0.0030274
                  94,            0.010271,           0.0038491,                   0,                   1,             0.82993,             0.85463,             0.52546,            0.026334,           0.0020504,                   0,           0.0029584,           0.0029584,           0.0029584
                  95,             0.01057,           0.0038672,                   0,                   1,             0.83673,             0.86297,             0.55274,            0.025411,           0.0018819,                   0,           0.0028914,           0.0028914,           0.0028914
                  96,               0.011,           0.0039646,                   0,                   1,             0.83673,             0.84769,             0.52512,            0.026077,           0.0020573,                   0,           0.0028266,           0.0028266,           0.0028266
                  97,            0.010365,           0.0038769,                   0,                   1,             0.83673,             0.87135,             0.47615,            0.025829,           0.0021206,                   0,           0.0027639,           0.0027639,           0.0027639
                  98,            0.010667,           0.0037055,                   0,             0.96957,             0.87075,             0.87886,             0.50493,            0.023173,           0.0022371,                   0,           0.0027035,           0.0027035,           0.0027035
                  99,           0.0097053,           0.0038029,                   0,             0.99999,             0.83673,             0.86785,             0.49365,            0.025028,           0.0021183,                   0,           0.0026453,           0.0026453,           0.0026453
